Delivery Date,Hour Ending,HB_NORTH,HB_SOUTH,HB_PAN,HB_WEST,HB_HUBAVG,HB_HOUSTON,Gas Price,NORTH_ERCOT_RTLOAD,Future Price,ERCOT_WIND_STWPF,GR_COASTAL (WIND_STWPF),GR_NORTH (WIND_STWPF),GR_PANHANDLE (WIND_STWPF),GR_SOUTH (WIND_STWPF),GR_WEST (WIND_STWPF),ERCOT_SOLAR_STPPF,ERCOT_RTLOAD,HOUSTON (RTLOAD),NORTH (ERCOT) (RTLOAD),SOUTH (RTLOAD),WEST (ERCOT) (RTLOAD),ERCOT_NET_LOAD_RT,ERCOT (NET_LOAD_FORECAST_CURRENT),ERCOT (NET_LOAD_FORECAST_BID_CLOSE),ERCOT (LOAD_FORECAST),Day of Week,Holiday
5/1/2022,1,48.49,48.35,39.52,55.36,50.35,49.19,8,12006.9,44,12069.9,809.9,725.7,2164.2,1220.8,7149.3,0,40669.48,11825.31,12006.9,11332.1,5505.18,28625.08,28550.48,26684.19,40620.38,1,0
5/1/2022,2,44,43.96,30.7,49,45.37,44.54,8,11202.78,43.88,12978.2,780.1,801.5,2479.3,1202.2,7715.1,0,38572.81,11298.4,11202.78,10655.79,5415.85,25690.47,25665.84,23892.45,38644.04,1,0
5/1/2022,3,43.88,43.75,32.04,48.68,45.17,44.35,8,10659.92,40.95,13094.1,707.4,846.7,2598.8,1140.1,7801.1,0,37208.8,10920.35,10659.92,10277.44,5351.1,24411.78,23916.12,22316.23,37010.22,1,0
5/1/2022,4,40.95,40.81,32.85,45.23,42.08,41.34,8,10329.37,37.37,12879.4,790.6,815.5,2624.5,1030.7,7618.1,0,36253.92,10662.09,10329.37,9932.54,5329.92,23390.97,23283.49,21098.8,36162.89,1,0
5/1/2022,5,37.37,37.38,29.92,41.93,38.63,37.85,8,10100.44,35.85,13458.2,710.1,948.4,2503.4,1468.3,7828,0,35596.39,10492.42,10100.44,9685.77,5317.77,21947.35,22139.4,20638.69,35597.6,1,0
5/1/2022,6,35.85,35.98,30.75,40.35,37.13,36.36,8,10128.59,40.99,14669.2,667,1207.3,2751,1911.3,8132.6,0,35664.08,10497.61,10128.59,9723.99,5313.88,20944.8,20639.85,20326.81,35309.05,1,0
5/1/2022,7,40.99,40.31,37.07,45.84,42.17,41.55,8,10264.45,38.05,15584.4,1035.3,1347.7,2906.5,1992.8,8302.1,8.1,35789.9,10475.71,10264.45,9764.71,5285.03,20151.09,20220.05,20171.23,35812.55,1,0
5/1/2022,8,38.05,37.26,32.72,41.82,38.95,38.68,8,10643.23,45.93,16405.4,1063.4,1474.7,3089.1,1952.5,8825.7,610.6,36399,10552.98,10643.23,9917.1,5285.68,19801.57,19274.97,19970.74,36290.97,1,0
5/1/2022,9,45.93,43.25,39.66,47.59,46.19,47.99,8,11456.48,50.8,15987.9,1011.5,1397.8,2808.5,2142.1,8628,2165.3,38530.4,11223.96,11456.48,10463.93,5386.04,19881.78,20119.64,20113.95,38272.84,1,0
5/1/2022,10,50.8,45.39,43.91,50.21,50.05,53.78,8,12360.46,43.65,18080.1,1657.7,1168.3,3111.1,2471.8,9671.2,3530.5,41320.59,12183.13,12360.46,11237.38,5539.62,19295.4,19270.77,20973.43,40881.37,1,0
